MCM3,SEMA6B,STAT2
RPL39L,TOR2A,H2AC20
FOSL2,DNPEP,TAP1
CLDN5,PML,CD8B
MEIS3,LINC00324,PSME2
HELZ,DEF6,SMIM43
GGT5,HCP5,TRAFD1
SP110,CYB561D2,DAB2IP
PHF21A,IL18,TATDN3
WNT5B,SPAG7,ARAP2
FSTL3,ZDHHC23,AKNA
IGSF3,TEX264,PLCL2
COL10A1,NUDCD2,IL15
P2RY8,TRMT10A,CCL7
TMBIM6,OASL,
HIKESHI,MXD4,
SMAD3,ISCA2,
ARNT2,ABHD17A,
SNUPN,TRPC4AP,
GPR4,CD48,
UCHL1,CMPK2,
KDM5A,CHURC1,
SNORA6,ZNF91,
NMB,C19orf12,
MTHFD1L,ADCY7,
NBPF10,TMEM60,
TNFRSF6B,TNFSF18,
KCND2,LAMTOR1,
CIAO2A,ATXN7L3,
MS4A2,RUNX2,
PLAU,CD33,
SNORA70,FLT1,
USP54,TRERF1,
GTF2IP20,ISG15,
DPRXP4,STK11,
GMPPB,CD1D,
RNF130,TP53INP1,
NXN,MOB1A,
TSPY2,DRAXIN,
TSPY10,SMARCE1,
FGF7,ZNF552,
MFAP2,SIGLEC10,
SYN1,C14orf93,
C5orf15,ADAM9,
RUFY1,IFIT3,
NTMT1,LINC02067,
DOLK,THAP11,
SLC50A1,DDX28,
ZNF641,COL13A1,
ITM2C,MRM3,
SLC19A3,ZNF253,
NMU,ACSL5,
TTC17,RNF141,
CD70,PLEKHJ1,
COPG2,FGFR1,
SPNS2,GALT,
GJC1,SANBR,
DCP1A,ZNF624,
EEF1A1,SIGLEC1,
KIF26A,RPP25L,
THG1L,PPP1CC,
ISLR2,BORCS6,
ARHGEF15,TNFAIP8L2,
LINC01061,ARHGAP4,
RPL26L1,VIPAS39,
CC2D2A,MRFAP1L1,
TRIM25,TRAM1,
LOC374443,NELL2,
A4GALT,LAIR1,
ZCCHC17,PDIK1L,
GOLGA6L1,TRIM5,
VCP,IDO1,
RBM5,PSMA3,
TNIP1,ACVR1,
ANXA11,TMEM250,
PPP1R14B,FBXO33,
RUSC2,OXLD1,
PIAS1,CCNG1,
TSPY8,SCYL3,
GREM1,PRMT6,
IL6,TNFRSF11B,
DPM2,DCK,
DDX55,LINGO1,
CXCL6,ZMAT2,
OSBPL7,VXN,
ANKS1A,SUB1,
FAM124B,RINL,
DCLRE1B,RPS19BP1,
CCN2,APH1A,
NID2,DHRS12,
GRIA3,IRF7,
EPYC,PCYT2,
ROBO4,SUMO2,
TENM4,SYNRG,
CXXC5,ZNF79,
MAP1A,ABI1,
GJA5,GRAP2,
CCDC140,NME6,
VPS13C,CCDC88B,
NOP10,RPL3P7,
HK3,CNTNAP3,
HAND2,ZMIZ1-AS1,
SNORD17,EFCC1,
F2R,ZNF675,
HSP90AB1,CD274,
MYO15B,SNAP29,
ESRP1,DYRK1B,
WDR73,SNX11,
RNF14,YY1AP1,
S1PR1,VPS51,
RO60,TANC1,
AKAP8,AKAP7,
PUM1,ATG4C,
EOMES,STYX,
BATF3,BET1,
FMO3,SPATA9,
GTF3A,TRAPPC4,
KDM3B,ABHD13,
DISC1,TCEANC,
PLAUR,CCSAP,
CREB3L2,SLC25A28,
PLIN3,LRP3,
KANSL2,ENY2,
TMPRSS13,BET1L,
C6orf132,VRK3,
MCUB,ADA,
LINC01001,POP4,
ADAMDEC1,TXN2,
DHRS3,CYP24A1,
SRPX2,NDUFA3,
CTNNA1,TRAF2,
MGARP,SLC35D2,
CERCAM,AMOTL2,
FGF11,SREBF1,
POLG,RSPO4,
SLC2A5,BIRC3,
MAS1,CYP1B1,
KDELR2,GPR55,
RBBP6,AKAP10,
EFL1,LGR6,
PLRG1,DNAJA1,
APCDD1L,BAG5,
SMOC2,FLI1,
S100A12,C16orf86,
CDH11,HLA-G,
TNPO1,CIRBP,
LOC155060,CLEC1A,
C2CD4B,FAM135B,
RPL11,RNFT2,
CUL9,MIF4GD,
COL4A4,RBMS3,
SNORD38A,LONRF3,
ADRB2,SLC9B1,
APLP1,TNFRSF18,
GRM4,MSL3,
NRGN,PSMB7,
STAG3L5P-PVRIG2P-PILRB,TSPOAP1-AS1,
ZNF594,SMIM20,
PABPC1,PCIF1,
FZD4,MCHR1,
LRCH1,ALKBH1,
HARS2,SMAP2,
SORL1,MRPL45,
ITGA10,GYG2P1,
CWF19L1,BLOC1S4,
RBPJL,DPYD,
LRRC15,ADGRE1,
NAP1L1,A2M,
CSNK2A2,ZNHIT3,
ENDOG,ARIH2OS,
PAX8-AS1,LGALS3BP,
MFSD2A,GMIP,
METRNL,RAB39A,
SNX1,TMX1,
THBS2,ZNF254,
TOMM5,LRRC25,
MMS19,NAGK,
SLC29A1,TCEANC2,
COL12A1,CCR9,
EFNA4,CLDND2,
SLC27A2,TTC33,
ANKRD34A,FIBCD1,
CDKN2AIPNL,RPL15,
HBD,DNAJC7,
LTBP2,AIP,
PTPRD,GHDC,
ARRDC4,DCAF5,
SIN3A,ANKRD49,
GLIS3,DCP2,
LMO7,ITGAM,
CDH24,LSM6,
PALMD,MRPL11,
SCD,ADGRG2,
FAM83D,MLEC,
SNORA80A,ABHD14A,
CNTNAP1,EXOC5,
TPM1,EIF5A2,
SNRK,TDP1,
RAI2,CPN1,
MIR219A2,SMCO2,
TMCC1-DT,MPDU1,
DRAM1,RNF19B,
KRT86,JAK3,
FOXO3,ZNF830,
BRPF3,TRAPPC6A,
C8G,MMP12,
PRKAR1B,DUS3L,
RPL41,NR3C1,
SELENOS,GTF2B,
LOC100288069,RESF1,
IL11,NUDCD1,
LILRA2,MED24,
RNA28SN5,BANCR,
ATP6V0A2,RPS9,
PTRH1,CRYM,
GNPTG,DGCR5,
PIMREG,FKBP5,
SLC44A5,ENO2,
CCDC102B,WSB2,
AARS2,ACSF3,
HGF,CBR3,
ST6GALNAC6,TMPO,
CCL21,PARP12,
CCL13,ATP13A2,
CDH5,MAP2K2,
PTEN,UBR7,
C6orf62,ATXN7L3B,
SRSF1,APBB1IP,
CCDC178,RMDN1,
VDAC1,ACOX3,
RPLP1,NBR1,
TXNIP,CLECL1P,
POTEC,ICAM3,
SCARNA7,CCDC12,
ZNF234,GON7,
ZNF292,SWSAP1,
ST13P4,UBE2D3,
COL6A2,MATR3,
ANXA2R-AS1,CORO1B,
SPOCK1,ZCCHC10,
RNY1,CSTB,
DTYMK,SP4,
RAB3C,ADPRM,
RRP1B,LRRCC1,
EFNB1,PANK4,
NISCH,NMRAL2P,
