OGT,DNTT,
UBTD1,OTUD3,
IGLL3P,CARD8,
FAM200C,TMEM14A,
THAP2,WDPCP,
GLI3,CELF2,
SAMD3,ST8SIA1,
RNF126P1,TMEM204,
CYRIA,UPK1A-AS1,
LY75,NOTUM,
ATP2B1-AS1,CST7,
APOBEC3A,GATD1,
PRR14L,KLHL5,
CD80,EPAS1,
PCGF2,ANKRD20A4P,
FAM72A,GAD1,
FAM218A,MEPE,
LRRC58,PPFIBP1,
CD70,ARHGEF3,
MIR450A2,MMP13,
NKRF,SCN8A,
CASS4,EPB41L3,
TRAF5,PDE6H,
ABI3BP,INSIG2,
RFX2,GATA1,
ITGBL1,GYPB,
ZZZ3,MNX1,
URI1,SLC15A4,
GBP3,NXPE3,
FOXP1-IT1,ZNF37BP,
ABCB7,TG,
LGALS2,EMX2OS,
PCDHB8,CRYGS,
MYNN,HNRNPUL2,
ILDR1,CYP20A1,
RN7SL1,GOLGA2P5,
RPS6KA2,PCGF5,
HNRNPCL1,SIGLEC6,
CD38,TARS3,
VBP1,LINC00887,
PPT1,CCND1,
LOC442028,CAND1,
SH2D1B,APBA2,
RAB33B,AKIRIN2,
FGR,EPX,
RIOX2,SLC5A8,
COL8A1,MICAL2,
DEPP1,PGM5,
OR4D6,CCDC148,
ZNF32,KCNMB3,
SLC38A6,SRARP,
ESCO1,THSD4,
SERHL2,C2orf69,
TFCP2,SEMA4C,
NRROS,HBM,
TLK1,SPACA6,
CSF1R,MCHR1,
TSGA10,R3HDM1,
GPM6B,AP4B1,
MTR,NET1,
H4C5,AMH,
ACKR4,HBD,
STAT1,YWHAH,
RGS21,MCF2L2,
EAF2,CLDN11,
WT1,TCERG1L,
CD3E,TIAM1,
ACTL8,ZDHHC21,
NUP50,GFI1B,
IGFBP1,RNF144A,
RAP2B,OSBP2,
ISOC1,MACF1,
TFG,AZU1,
DPT,CTSG,
MAGEA9B,FYCO1,
VPS9D1-AS1,MIR4435-2HG,
ANKAR,MIR144,
BRD3,EPB42,
GNAL,FAM111A,
DENND3,PRTN3,
RHOU,PHF13,
CCDC110,CDK17,
DHFR2,DTX1,
SLC19A2,WNK1,
RASA3,ELANE,
ZNF616,SLC4A1,
ZBTB33,LRP11,
CD19,FIBCD1,
TAF4B,RHCE,
H3C7,DEFA8P,
MIR1910,ETV6,
PPM1H,VSIG10L,
TMEM33,TBL1XR1,
PTH2R,KLF1,
FPGT,AMIGO3,
RAC2,MIR4768,
ROBO2,ATP23,
GZMB,TANC1,
CHST9,PSIP1,
MED10,EXPH5,
FAM90A7,IDS,
SNORD4A,HEMGN,
KRTAP12-3,RNFT2,
KIAA0232,FUCA2,
LTB,PPP1R14C,
LINC00652,E2F7,
AIF1,TNFAIP8L1,
HAND2,VAMP1,
KCNK12,VLDLR-AS1,
OR56A4,SLC7A11,
DCUN1D4,AHSP,
SAC3D1,SLC24A4,
ZNF215,CADPS,
STAG2,PRG3,
ASB16,GNB3,
RALB,SP5,
ZCCHC24,TMEM158,
LINC00525,CRYGN,
DR1,MPPED2,
SNAP29,PGLYRP1,
MGAT4A,PKP4,
GAN,CSRP2,
