ETFBKMT,SLC38A9,
IRAK3,MFHAS1,
ALDH1A3,CGAS,
SNORA8,LINC00239,
H1-2,RP2,
CLEC4GP1,LYPLA2,
ACAP1,LSM12,
AGAP4,PCGF2,
TRAPPC2,TPM3,
CMTM2,PLSCR1,
WNT5B,RAC1,
NCF1C,GOSR1,
PRXL2C,TXNDC12,
KIR2DL4,APBB1IP,
OR13C5,SBNO2,
EMSY,SECTM1,
IMMP2L,ALAS1,
DIXDC1,CAPZA2,
ACER3,VAMP3,
TAF13,PYROXD2,
PSMB1,UHRF1,
MT1IP,C1QB,
FTSJ1,BLTP2,
MLXIPL,IFNAR1,
INTS4P1,MSH3,
BICC1,PICK1,
CRABP1,DHDDS,
STX1A,ITPKC,
ZBTB26,DNAJB1,
SNORA20,ADAMTS4,
ITGAL,PRDX3,
H2AC6,FBXO8,
CAMK1G,KDELR1,
IL1B,HCFC1,
BCCIP,MED16,
NCF4,PSMD7,
FXYD7,CDC42,
C4A,SFPQ,
DNAH9,OSTF1,
,TSPAN19,
,CHIC2,
,CCP110,
,PILRA,
,CD33,
,EFHD2,
,BCAP31,
,ATP6AP2,
,INF2,
,TMEM248,
,PHC2,
,COASY,
,MAP2K1,
,UBE3C,
,RNF157,
,RFC2,
,CLEC6A,
,ZNF319,
,ARSB,
,AMPD2,
,SDSL,
,TOR3A,
,SARS1,
,SAP30BP,
,TFB1M,
,UBR7,
,DHX38,
,AP2A1,
,NPC1,
,TTI2,
,CDT1,
,ACOD1,
,MCM5,
,LETM1,
,CD80,
,LAMP1,
,FAM174A,
,SERTAD1,
,GRK2,
,SPAG5,
,F11R,
,LTBR,
,RAB5C,
,PLEKHM1,
,GCH1,
,NAA60,
,PIM1,
,TMEM273,
,CHMP7,
,ST3GAL2,
,CHMP2B,
,KRT12,
,CDCA4,
,LGALS3BP,
,NCAPH2,
,ANKRD22,
,SGPL1,
,STAT1,
,GALK2,
,ATP1A1,
,ATP6AP1,
,PSMD12,
,CALR,
,MKS1,
,KIAA0319L,
,ASF1B,
,CCDC47,
,EWSR1,
,ERI1,
,PI4K2A,
,IGF2R,
,RHEB,
,SLC35B1,
,KPNA6,
,LRPAP1,
,MAFG,
,H1-10,
,MRPS23,
,POLRMT,
,CENPU,
,LYZ,
,RNF126,
,UBE2I,
,EIF4EBP1,
,RFX1,
,MED10,
,SAPCD2,
,CD300LF,
,PIGG,
,NDE1,
,LAMTOR5,
,HGS,
,NUDC,
,NADK,
,TIFA,
,CNOT3,
,NAPA,
,PPP5C,
,RLBP1,
,CMIP,
,TOMM40,
,HK2,
,GET3,
,MFSD14A,
,PEX14,
,CALM1,
,LCMT1,
,COPE,
,EHBP1L1,
,PFN1,
,STRIP2,
,SAMD9L,
,DPY19L1,
,CIB1,
,RIPOR1,
,HNRNPM,
,ME2,
,PHLDA1,
,DHPS,
,NAGPA,
,LDLR,
,MAP6,
,ALDOA,
,ERAP1,
,GDE1,
,BTK,
,CSMD1,
,LRWD1,
,FAAP24,
,RAB40C,
,LRRC45,
,TNFRSF1A,
,ABHD16A,
,COQ8B,
,ZNF653,
,PSMD2,
,CORO1C,
,SFXN1,
,VPS33A,
,SEMA6B,
,HDGFL2,
,NOC4L,
,WDR41,
,TRIM35,
,C19orf47,
,GRPEL1,
,BIN3,
,RALB,
,DHX30,
,CD164,
,BNIP2,
,GIPC1,
,CALHM6,
,INHBA,
,TFG,
,NELFB,
,SLC39A8,
,SUMO2,
,ABI3,
,SPNS1,
,PTP4A2,
,HLA-B,
,CLIC1,
,PPP1R18,
,BRD9,
,MAEA,
,PLXNB2,
,MED8,
,CASS4,
,EIF4H,
,LINC00221,
,ADCK2,
,TNFSF13B,
,NFKBIB,
,ABCA13,
,GRN,
,CD48,
,SPHK2,
,CAPZA1,
,NEURL3,
,UBN1,
,FERMT3,
,ELOVL1,
,FAM90A1,
,SCN9A,
,CTSC,
,UNK,
,CREG1,
,CISH,
,CARD19,
,C1QC,
,G3BP2,
,SULF1,
,MED6,
,SLC39A11,
,DDX19A,
,THAP1,
,PTPRN2-AS1,
,ATF6,
,CFAP20,
,ZC3H18,
,LINC01194,
,GABRA2,
,E4F1,
,ARPC1B,
,DDX54,
,RNPEP,
,ACLY,
,UIMC1,
,WAS,
,SNRPA1,
,FRG1,
,SLC49A3,
,SERTAD3,
,TNFSF13,
,LONP1,
,BSG,
,GMPPB,
,ZNF282,
,IER2,
,HEXIM1,
,PAK2,
,SPATA2L,
,HM13,
,TBCA,
,YIPF2,
,NAGA,
,DHX37,
,SDF4,
,DTX3L,
,TYK2,
,ACAT2,
,IFI16,
,VAMP8,
,RANBP3,
,HEATR6,
,ANXA7,
,ABHD8,
,ATXN7L3,
,GTF2E2,
,SLC43A2,
,NRAS,
,GFM2,
,CLDN12,
,TMUB1,
,TNPO3,
,SRRT,
,MKRN1,
,ATP6V0B,
,ZNF213,
,STARD3NL,
,SUPT6H,
,MRFAP1,
,H2AX,
,CYB5R4,
,DNAJC1,
,IRF2BPL,
,LINC00861,
,MCPH1,
,BIRC3,
,RBM10,
,HLA-A,
,WFS1,
,SQSTM1,
,PLEKHA4,
,MMP19,
,RSPH3,
,ENO1,
,DNAJC8,
,EXOSC9,
,ARNT2,
,SBDS,
,ATP6V0E1,
,CLCC1,
,POLD1,
,AGTRAP,
,PPP3CC,
,SYNGR3,
,ZNF622,
,PIP5K1C,
,KCNK13,
,AP1M1,
,DOT1L,
,MCM2,
,PRKACB,
,TUBB4B,
,SH3BGRL3,
,C11orf21,
,EIF4E,
,MS4A4A,
,PNKP,
,HOXA7,
,DCAF15,
,SRP19,
,VSIR,
,CLCF1,
,TBC1D10B,
,TACO1,
,MGAT4B,
,CDH6,
,NRF1,
,CSNK1D,
,ALDH16A1,
,CLTC,
,CAPNS1,
,INTS1,
,ZBTB7A,
,TRAFD1,
,POLR2J,
,JOSD1,
,UPP1,
,FPGS,
,EMC7,
,HIF1A,
,DACT3,
,GINS3,
,CAAP1,
,CHADL,
,GIT1,
,HOXB7,
,ARPC1A,
,CXCL9,
,POP7,
,NUP210,
,FBXO42,
,ANXA11,
,CEP41,
,RNF10,
,GHITM,
,CARD6,
,LRRC8C,
,WTAP,
,CYB5B,
,CD320,
,TMEM184B,
,EGR3,
,FABP7,
,PSTPIP2,
,POLR2E,
,SH3GL1,
,ST6GALNAC5,
,KIF1A,
,CSTB,
,ACOX3,
,CHST11,
,S100A5,
,CLPTM1L,
,PSMD11,
,EMC1,
,ARMC7,
,FOLR3,
,AVL9,
,IL15RA,
,KYNU,
,PANK4,
,ADGRE1,
,ZBTB8OS,
,ATG7,
,CHPF2,
,SESN2,
,BFSP1,
,PVR,
,ALKBH1,
,LAT2,
,INPP5F,
,ARF6,
,NOP14,
,CLLU1-AS1,
,DIPK1C,
,TSPAN14,
,HCLS1,
,RAD54L,
,TMEM161B-DT,
,PSMA3,
,GPR82,
,FAM86DP,
,DCTN6,
,IFNGR2,
