PIWIL4,NSUN5,CAB39
TUBA3D,TBL2,STAP2
TLE5,GATAD1,COASY
ACOT4,PIAS1,CIAO3
CHST14,BRAP,LRRC46
SSR4,GPCPD1,ZBED5
TMT1B,AGAP3,MTX1
COX14,PNN,NEURL4
ACADS,BACH1,CTDP1
DCAF7,AREL1,USP38
ZC3H10,IVNS1ABP,TNFRSF10C
RPL7L1,NOTCH1,CYB5A
PGLS,LINC01001,LINC01018
ZFP69B,KREMEN1,DGKQ
MIR599,FCRLB,PI4KAP1
ZNF589,CDK5,DUS4L
ADCK1,PCGF3,POP7
DVL2,LINC01004,R3HDM4
SLC48A1,USP36,METTL22
FPGT,CCT6P1,AOC4P
FLYWCH2,CLSTN3,TAFAZZIN
GMPPB,RHBDF1,NUP85
ERAL1,NFKB1,NUDCD3
CSPP1,RB1,SMARCD2
SLX9,KLHDC7B,SIN3B
PLEKHJ1,TOX4,DTX3
VPS35,IST1,LGALS3BP
UBXN4,G3BP2,ARMCX6
CDH2,PLK3,CNBP
MIR129-2,POLR1F,LRRC23
ATP6V0E2-AS1,LINC01000,TMEM248
EPHA3,CHD4,PRKCD
LYRM9,OPA1,COPS7A
MYH11,BOD1L1,GIPC1
EFEMP1,METTL17,AOX1
PGAM5,LINC00265,PCBP4
HDDC3,ST3GAL2,RLIG1
RAC2,CCDC122,NT5C
TADA3,RNPS1,ZNF174
SLC36A1,HOTAIRM1,LETM1
SLC2A9,ANKRD13A,HDAC8
TPGS1,CX3CL1,PMS2P5
NAXE,CDK13,COG7
RNASE1,METTL2B,ZNF282
ATP5MC2,TSPAN14,NAA10
LFNG,DDX47,EIF4A3
RASSF1,GGA3,PGAP6
CLN6,LNX2,DUSP15
SH3GL3,SP1,EXO5
TBC1D10B,GATAD2B,NBEAL2
SDR39U1,U2AF1,MRPL42
PCDH10,DDX42,GSS
TICRR,KATNBL1,ZNF23
GNL2,PMM2,CSK
TSPAN13,EPDR1,SBNO2
ARPC4,SHISA4,GPBP1
SPINT1,SPMIP4,ATP6V1F
PTPRD,PPHLN1,TP53BP1
CFAP184,TMEM184C,SRSF6
ZDHHC12,TRIM13,IMP4
SELENOK,TTYH2,NAA25
IVD,ZBTB49,TRPV2
RBMS1,WASH7P,NADSYN1
RMND5B,PPIE,COX10
SSNA1,ARMCX5,NDST2
SERTAD4,ANAPC5,C1QBP
INIP,ADNP2,ADAM15
MIF4GD,DIS3,TMEM161B
SND1-IT1,EIF4H,SEC24B
ATOH7,PBX2,SLC25A29
NTMT1,AP1S1,DZIP1L
RBMY2FP,VMA21,ZNF775
EGFL7,LY6G5B,SRSF3
PTH2R,DCUN1D2,RNF31
SLC30A7,ARFIP1,HCFC1
ABHD4,SLC39A9,BUD23
GHDC,RSRC2,ACP6
ZC2HC1A,MTERF1,ELOF1
TMLHE,IRAK2,AP1G2
ZNF628,TCERG1,FHIP1B
CRISPLD2,MOSMO,HYCC2
MMP7,MELTF-AS1,CD4
RAB20,PLXNA1,PPOX
MYO1G,SNORA67,CANT1
AKR1D1,ZNF263,CASK
PUM1,HOXC13-AS,SAMD15
IRF5,SEC11C,PPIA
TCIRG1,ANKRD10,RHOT2
CIITA,ATR,NOMO2
RAB38,TM7SF3,NEDD1
HBQ1,TMCO1,ZSCAN25
KDM7A-DT,ZNF219,TMEM177
SNAPIN,ME2,CBARP
TEX264,BAZ1A,RSPRY1
SRCAP,RAI1,TBKBP1
TXNRD2,SDAD1,KDM5C
USP19,UTP3,TMEM104
QPRT,RAB21,SLC35C2
NRROS,NOCT,CUL1
CYBA,BZW2,XRCC2
TMEFF2,FAM66D,AP5Z1
BRPF1,TRAFD1,NUDT17
LRBA,KRAS,LLGL1
ST6GALNAC4,MAPRE3,FAM86FP
CDH17,STARD7-AS1,CEP20
MCMDC2,GSAP,GNPDA2
SFRP2,UBE2Q2P16,DAGLB
PCDH11X,GALNT11,ZDHHC16
TMED1,MID2,ESS2
CCDC183-AS1,CCNL1,DENND4B
THBS1,METTL2A,PRDM15
GSTK1,TRIM47,MRPS34
TCEAL7,ZNF333,SPG21
FAM174C,ABCF2,NELFA
TNRC6B,FAM209B,MSN
PI4KAP2,EIF3B,RTF1
ATP5MC1,GAS8-AS1,EIF2B2
POLDIP2,FAM86HP,SLC27A5
TMEM141,LINC03009,SPPL2B
TRAPPC13,LY6E,SLC35F6
DEPDC5,UMPS,DNAJB6
DDX18,LINC02946,PPP6R1
SLITRK1,UGGT2,CNEP1R1
HRC,CPSF6,DBNL
HSPG2,BCL2A1,PIMREG
LPAR1,AEN,METAP2
ST14,RNF216,NFKBID
SLC7A7,TRIM38,TMEM14B
TMEM115,ANKLE2,ZDHHC17
ABHD17A,CRYAA,POU3F1
TMEM53,RBAK,SMIM14
PAIP1,RRN3P3,TBRG4
CD55,KRIT1,RGN
MTERF3,U2SURP,AVL9
