PPARG,IL22RA2,
SYP,PLCL2,
DLG5-AS1,MBD4,
UBE2D4,CCR4,
MYBPH,CD69,
THBS3,ST8SIA4,
PKIA,TNFRSF9,
AIG1,CEPT1,
ZNF236-DT,ITSN2,
SALL2,CCNG2,
CCDC107,SAMD3,
SNORD114-11,NFKB1,
ADCY2,PDE7A,
SNX32,RELB,
PTCH1,ALOX15P1,
MAPK3,C1orf220,
BRD8,EBLN3P,
TRIP10,PTPN22,
HID1,FCHSD2,
ARNT,KIF21B,
NNAT,SPIC,
KCNIP1,MYO7B,
LRRC8C,RBL2,
UBAP2,COLQ,
ZFP64,NCF1B,
ZNF674,LINC01550,
CHMP5,ARHGAP4,
CDK12,CYBC1,
DEPP1,ZNF675,
SKIDA1,RABEP2,
TOMM40L,DDX6,
STOML2,IL12RB1,
PARP8,SELPLG,
FLYWCH1,ZNF708,
IFT22,ZBTB14,
ILF3-DT,DNAH1,
MAP3K11,S1PR1,
NSFL1C,WNT10A,
H2BC21,TMEM150C,
LINC01300,SH2B2,
OR5D16,DBNL,
SLC34A2,LNPEP,
TCF7L1,ZNF586,
CLDN6,SYNRG,
ZBTB4,FOXP3,
SDF2,CCL19,
SALL4,NDST2,
FOXD2,ZNF721,
TEAD1,ACHE,
PI4KA,EDAR,
FHIP2B,LAX1,
CSNK1E,FLOT2,
GPR162,MSL3,
CNTN4,ATOSA,
PRR14L,USP20,
KCNMB2,EPC1,
PPP1R3F,VAV1,
AQP12B,DENND4A,
OR4C3,APBB1IP,
DIDO1,CXCR3,
TESMIN,MLLT6,
CNTNAP1,REL,
BUB1B,RGL4,
SGK1,IL7,
AGPS,DCANP1,
IGKV1ORY-1,NFATC3,
HOXC11,CTC1,
TBL1X,PHF12,
SLCO3A1,GIMAP2,
PTN,PCDHAC2,
ERC1,LINC01547,
PNPLA3,MED28,
AP2M1,RGS14,
FER1L4,CYRIA,
TDRD10,TRAV13-2,
ZNF185,TBX21,
CERS2,SPINK2,
EFHD1,SMIM14,
PDCD6,SP4,
TIMP4,ICAM2,
COX17,SYVN1,
RPL19P12,YTHDC1,
ADORA1,PLA2G2D,
MOCS3,GPSM3,
CPZ,INPP4A,
GADD45B,ZNF737,
ASS1,NUGGC,
RNF7,RAB8A,
ZNF575,CRTAM,
JTB,UICLM,
KCNIP2-AS1,USP44,
RASSF1,NCF1C,
SLC39A1,MYCL,
ZNF250,XCR1,
CHST12,SELL,
TRIM32,UCP2,
BCRP2,LGALS2,
TMEM18,MOB1A,
TTR,IL27RA,
PNMA8B,ZFAT,
MAVS,HDAC9,
DNAJC25-GNG10,ZNF154,
HCFC1R1,ARHGAP17,
VDAC2,TFEB,
PCBP3-AS1,PPP2R5C,
ASB6,DGKZ,
CNPY4,TMED8,
NMT1,OFD1,
C1orf43,TADA2B,
BOC,IL21,
VPS28,ANKRD49,
BAG3,EPB41,
CACNA2D2,HMGB2,
MLH1,MIR548AN,
MIR1197,ZNF80,
LINC01193,PCF11,
TMT1A,GPR183,
AOC3,RUBCNL,
HOXC5,TOX2,
MYEOV,GIMAP1,
SLC6A18,RGS19,
AIF1,ZCCHC7,
AUTS2,EHMT1,
DKC1,PSTPIP1,
MTHFD1,TIFAB,
LIME1,ZSCAN32,
DTX3,UNC13D,
DPM3,ZNF276,
MIR339,ZNF14,
DNAJC14,RNF4,
GPR37,LOC100652768,
FAM83F,KLF2,
SLC25A13,ZBTB18,
NUP214,CETP,
ZWINT,CLK4,
NEURL2,KDM4B,
FBXL19-AS1,HELQ,
AGPAT1,MORN3,
LDHA,SLC25A45,
NUDT18,HMCES,
MYLK4,SCT,
CYP2D7,EVI2B,
COX5A,LINC00324,
LAMA5,LRRK1,
BEX2,SHISA3,
TTLL5,ZBTB25,
SIGMAR1,TRAF3,
C14orf132,ZNF141,
TDRP,GPR174,
THTPA,ORAI2,
MAF1,TDP1,
