TRIM35,LRP1,
PUM2,PPHLN1,
CRB1,ARNT2,
UBQLN2,TAC4,
PARD6A,PADI3,
SUMF1,G3BP2,
RAB32,KCNH3,
H1-10,ZFP30,
SNORD25,SLC35F6,
ARMC3,SHE,
UBE3D,NOM1,
MAP4K4,MMUT,
RFTN2,SNCA,
OR5M8,IVNS1ABP,
C11orf58,NELL1,
ANTKMT,GOLT1B,
UBE4B,TNC,
NT5DC2,CACNA1B,
NR1D2,MIR503HG,
ARHGAP15,ZNF844,
ARL17B,CERS5,
ALDH3B1,GDAP1,
TLN1,MIR23AHG,
DAPL1,GUSBP1,
MPP4,SDK2,
KHDC4,ITGA7,
KCNK2,SOX5,
MAD1L1,CALCOCO1,
EMC3,ANKRD9,
LRRC8C,FIP1L1,
EPPK1,SH3RF3,
ECHS1,PRORP,
SMIM8,AADAT,
TRIOBP,MIR503,
ZNF143,RELB,
XIAP,KLHDC7B,
SRSF3,GGCX,
ABCA13,ABTB2,
ASAP1,EPB41L5,
NSMAF,AK4,
EXTL3,CDC16,
GJB7,MTCL3,
ADIPOQ,NBR1,
NAPB,BLOC1S2,
SPTAN1,TNFRSF10B,
SNX5,USP12,
METTL26,GULP1,
MKRN2,RCHY1,
THBS3,BUD23,
ABHD15,NEURL3,
TMEM68,ZNF394,
AZGP1,WBP11,
RYR3,ALYREF,
TLE4,CNKSR2,
SLC30A5,AGFG1,
TEDC2,SELENOP,
ABHD17B,LINC00310,
PLEK2,ATP6V1E1,
ABCE1,COX19,
SLC11A1,PICK1,
IFI27L2,VEPH1,
SLC43A2,ASPA,
MIEN1,PISD,
DHX29,TOP3B,
ZNF548,ZNF569,
ZNHIT6,VPS26B,
EPS15,CYTH3,
NDUFB1,TBC1D9B,
MFSD13A,SNCA-AS1,
SLC25A39,CCT6P3,
LEPR,THNSL2,
NAV3,FOLH1,
C6orf132,DTWD2,
CNBP,KLC4,
PER2,NDUFAB1,
SDCBP,MIR211,
ELP6,EFNB1,
MTFR1,UTP3,
TUBGCP4,LINC00189,
MFHAS1,ADAMTS4,
SGPL1,ANKRD10,
PPP3CA,LOC374443,
PAQR3,ZNF395,
ARMCX1,PLTP,
MMP14,GRK3,
RBM7,NCOA2,
SWAP70,MOAP1,
ZDHHC12,SYNC,
PLS3,EPN2,
CD55,ABRACL,
CLN8,TEX9,
TCF12,ROR1,
KIF3A,SLC16A1,
ST6GALNAC5,DNAAF8,
NSUN2,VPS33B,
PNPO,EXOSC9,
EMC6,ME2,
SHANK2,ZFP90,
SNAPIN,PRDM7,
TMEM208,KCNAB2,
KCNIP1,NOXO1,
FJX1,TBCEL,
FANCG,CD9,
PHPT1,SCP2,
PALS1,HSP90B2P,
TIGD7,GOLIM4,
WEE1,LRP3,
TATDN1,AGO3,
DUSP6,CDO1,
CTPS2,ACADL,
