MINAR1	UniProtKB:Q9UPX6	Major intrinsically disordered Notch2-binding receptor 1
ADAM15	UniProtKB:Q13444	Disintegrin and metalloproteinase domain-containing protein 15
EIF2AK3	UniProtKB:Q9NZJ5	Eukaryotic translation initiation factor 2-alpha kinase 3
TNFAIP2	UniProtKB:Q03169	Tumor necrosis factor alpha-induced protein 2
UBP1	UniProtKB:Q9NZI7	Upstream-binding protein 1
CAV1	UniProtKB:Q03135	Caveolin-1
PDE3B	UniProtKB:Q13370	cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B
SEMA3E	UniProtKB:O15041	Semaphorin-3E
SEMA3E	UniProtKB:O15041	Semaphorin-3E
NRARP	UniProtKB:Q7Z6K4	Notch-regulated ankyrin repeat-containing protein
NRARP	UniProtKB:Q7Z6K4	Notch-regulated ankyrin repeat-containing protein
PDGFRB	UniProtKB:P09619	Platelet-derived growth factor receptor beta
PDGFRB	UniProtKB:P09619	Platelet-derived growth factor receptor beta
PDGFRB	UniProtKB:P09619	Platelet-derived growth factor receptor beta
SRF	UniProtKB:P11831	Serum response factor
SRF	UniProtKB:P11831	Serum response factor
SRF	UniProtKB:P11831	Serum response factor
ARHGAP22	UniProtKB:Q7Z5H3	Rho GTPase-activating protein 22
COL4A2	UniProtKB:P08572	Collagen alpha-2(IV) chain
ITGA2B	UniProtKB:P08514	Integrin alpha-IIb
RAMP1	UniProtKB:O60894	Receptor activity-modifying protein 1
PKNOX1	UniProtKB:P55347	Homeobox protein PKNOX1
FN1	UniProtKB:P02751	Fibronectin
ANGPT1	UniProtKB:Q15389	Angiopoietin-1
ANGPT1	UniProtKB:Q15389	Angiopoietin-1
ANGPT1	UniProtKB:Q15389	Angiopoietin-1
LEPR	UniProtKB:P48357	Leptin receptor
FGF9	UniProtKB:P31371	Fibroblast growth factor 9
PRKX	UniProtKB:P51817	cAMP-dependent protein kinase catalytic subunit PRKX
GJA5	UniProtKB:P36382	Gap junction alpha-5 protein
SAT1	UniProtKB:P21673	Diamine acetyltransferase 1
TGFB1	UniProtKB:P01137	Transforming growth factor beta-1 proprotein
TGFA	UniProtKB:P01135	Protransforming growth factor alpha
EGF	UniProtKB:P01133	Pro-epidermal growth factor
PDGFB	UniProtKB:P01127	Platelet-derived growth factor subunit B
NDNF	UniProtKB:Q8TB73	Protein NDNF
NDNF	UniProtKB:Q8TB73	Protein NDNF
FGFR1	UniProtKB:P11362	Fibroblast growth factor receptor 1
ADRA2B	UniProtKB:P18089	Alpha-2B adrenergic receptor
AKT1	UniProtKB:P31749	RAC-alpha serine/threonine-protein kinase
ELK3	UniProtKB:P41970	ETS domain-containing protein Elk-3
S1PR1	UniProtKB:P21453	Sphingosine 1-phosphate receptor 1
SLIT2	UniProtKB:O94813	Slit homolog 2 protein
NF1	UniProtKB:P21359	Neurofibromin
GREM1	UniProtKB:O60565	Gremlin-1
YJEFN3	UniProtKB:A6XGL0	YjeF N-terminal domain-containing protein 3
AMOT	UniProtKB:Q4VCS5	Angiomotin
ITGA5	UniProtKB:P08648	Integrin alpha-5
ITGA5	UniProtKB:P08648	Integrin alpha-5
NRP2	UniProtKB:O60462	Neuropilin-2
FGF18	UniProtKB:O76093	Fibroblast growth factor 18
FMNL3	UniProtKB:Q8IVF7	Formin-like protein 3
CCN3	UniProtKB:P48745	CCN family member 3
PIK3CG	UniProtKB:P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
VSTM4	UniProtKB:Q8IW00	V-set and transmembrane domain-containing protein 4
FGF8	UniProtKB:P55075	Fibroblast growth factor 8
FLT1	UniProtKB:P17948	Vascular endothelial growth factor receptor 1
ADM2	UniProtKB:Q7Z4H4	Protein ADM2
CD34	UniProtKB:P28906	Hematopoietic progenitor cell antigen CD34
CDH13	UniProtKB:P55290	Cadherin-13
GPR15	UniProtKB:P49685	G-protein coupled receptor 15
CXCR3	UniProtKB:P49682	C-X-C chemokine receptor type 3
TBX1	UniProtKB:O43435	T-box transcription factor TBX1
VEZF1	UniProtKB:Q14119	Vascular endothelial zinc finger 1
DAG1	UniProtKB:Q14118	Dystroglycan 1
IL18	UniProtKB:Q14116	Interleukin-18
TIE1	UniProtKB:P35590	Tyrosine-protein kinase receptor Tie-1
MYH9	UniProtKB:P35579	Myosin-9
TCF21	UniProtKB:O43680	Transcription factor 21
RHOB	UniProtKB:P62745	Rho-related GTP-binding protein RhoB
CASP8	UniProtKB:Q14790	Caspase-8
ENPEP	UniProtKB:Q07075	Glutamyl aminopeptidase
NOTCH1	UniProtKB:P46531	Neurogenic locus notch homolog protein 1
VASH1	UniProtKB:Q7L8A9	Tubulinyl-Tyr carboxypeptidase 1
NOTCH2	UniProtKB:Q04721	Neurogenic locus notch homolog protein 2
CSPG4	UniProtKB:Q6UVK1	Chondroitin sulfate proteoglycan 4
JMJD6	UniProtKB:Q6NYC1	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6
ZNF354C	UniProtKB:Q86Y25	Zinc finger protein 354C
COL18A1	UniProtKB:P39060	Collagen alpha-1(XVIII) chain
NUS1	UniProtKB:Q96E22	Dehydrodolichyl diphosphate synthase complex subunit NUS1
YWHAZ	UniProtKB:P63104	14-3-3 protein zeta/delta
GBX2	UniProtKB:P52951	Homeobox protein GBX-2
DAB2IP	UniProtKB:Q5VWQ8	Disabled homolog 2-interacting protein
B4GALT1	UniProtKB:P15291	Beta-1,4-galactosyltransferase 1
SOX18	UniProtKB:P35713	Transcription factor SOX-18
SOX18	UniProtKB:P35713	Transcription factor SOX-18
MAPK14	UniProtKB:Q16539	Mitogen-activated protein kinase 14
LEF1	UniProtKB:Q9UJU2	Lymphoid enhancer-binding factor 1
LEF1	UniProtKB:Q9UJU2	Lymphoid enhancer-binding factor 1
SFRP2	UniProtKB:Q96HF1	Secreted frizzled-related protein 2
GPX1	UniProtKB:P07203	Glutathione peroxidase 1
GDF2	UniProtKB:Q9UK05	Growth/differentiation factor 2
GDF2	UniProtKB:Q9UK05	Growth/differentiation factor 2
RECK	UniProtKB:O95980	Reversion-inducing cysteine-rich protein with Kazal motifs
HAND1	UniProtKB:O96004	Heart- and neural crest derivatives-expressed protein 1
PANK2	UniProtKB:Q9BZ23	Pantothenate kinase 2, mitochondrial
RSPO3	UniProtKB:Q9BXY4	R-spondin-3
ANGPTL4	UniProtKB:Q9BY76	Angiopoietin-related protein 4
NAA15	UniProtKB:Q9BXJ9	N-alpha-acetyltransferase 15, NatA auxiliary subunit
MMP2	UniProtKB:P08253	72 kDa type IV collagenase
CD47	UniProtKB:Q08722	Leukocyte surface antigen CD47
JAM3	UniProtKB:Q9BX67	Junctional adhesion molecule C
FGF2	UniProtKB:P09038	Fibroblast growth factor 2
FGF2	UniProtKB:P09038	Fibroblast growth factor 2
FGF2	UniProtKB:P09038	Fibroblast growth factor 2
NOS3	UniProtKB:P29474	Nitric oxide synthase 3
NR4A1	UniProtKB:P22736	Nuclear receptor subfamily 4immunitygroup A member 1
HIF1A	UniProtKB:Q16665	Hypoxia-inducible factor 1-alpha
EREG	UniProtKB:O14944	Proepiregulin
TEK	UniProtKB:Q02763	Angiopoietin-1 receptor
TEK	UniProtKB:Q02763	Angiopoietin-1 receptor
TEK	UniProtKB:Q02763	Angiopoietin-1 receptor
SRPX2	UniProtKB:O60687	Sushi repeat-containing protein SRPX2
PDGFRA	UniProtKB:P16234	Platelet-derived growth factor receptor alpha
PPP3R1	UniProtKB:P63098	Calcineurin subunit B type 1
HOXB13	UniProtKB:Q92826	Homeobox protein Hox-B13
NRCAM	UniProtKB:Q92823	Neuronal cell adhesion molecule
