PCIF1,,
MCHR1,,
ALKBH1,,
SMAP2,,
MRPL45,,
GYG2P1,,
BLOC1S4,,
DPYD,,
ADGRE1,,
A2M,,
ZNHIT3,,
ARIH2OS,,
LGALS3BP,,
GMIP,,
RAB39A,,
TMX1,,
ZNF254,,
LRRC25,,
NAGK,,
TCEANC2,,
CCR9,,
OTULINL,,
CLDND2,,
NHS,,
TTC33,,
FIBCD1,,
RPL15,,
DNAJC7,,
AIP,,
GHDC,,
DCAF5,,
ANKRD49,,
DCP2,,
ITGAM,,
LSM6,,
MRPL11,,
ADGRG2,,
MLEC,,
ABHD14A,,
EXOC5,,
EIF5A2,,
TDP1,,
CPN1,,
SMCO2,,
MPDU1,,
RNF19B,,
JAK3,,
ZNF830,,
TRAPPC6A,,
MMP12,,
MANBAL,,
DUS3L,,
NR3C1,,
GTF2B,,
RESF1,,
NUDCD1,,
MED24,,
BANCR,,
RPS9,,
CRYM,,
DGCR5,,
FKBP5,,
PARP14,,
ENO2,,
WSB2,,
ACSF3,,
PARVG,,
PARP11,,
CBR3,,
TMPO,,
PARP12,,
NSD1,,
ATP13A2,,
MAP2K2,,
TOR4A,,
UBR7,,
SIGLEC11,,
ATXN7L3B,,
APBB1IP,,
RMDN1,,
ACOX3,,
NBR1,,
CLECL1P,,
ICAM3,,
CCDC12,,
GON7,,
SWSAP1,,
SLC9A9,,
UBE2D3,,
MATR3,,
CORO1B,,
ZCCHC10,,
CSTB,,
SP4,,
ADPRM,,
TLR7,,
LRRCC1,,
PANK4,,
NMRAL2P,,
RTP4,,
ABHD14B,,
HNRNPA0,,
SNHG8,,
SERPINB9P1,,
AP5M1,,
POLL,,
ARHGEF6,,
ICAM2,,
SBNO2,,
NOP53,,
ZNF414,,
RHBDD3,,
C3orf38,,
MT1L,,
CFLAR,,
ELP6,,
LOC100240735,,
ZBTB49,,
DGKZ,,
NEURL2,,
MOSPD2,,
TMUB2,,
PLEKHG3,,
MED29,,
NSMCE2,,
PABPC3,,
FAM114A2,,
MCL1,,
DOCK9,,
NADK,,
RPL3,,
MMP7,,
CTSO,,
PANK3,,
ZNF207,,
SLC28A3,,
SLC20A2,,
PFKP,,
LMAN2,,
SFRP5,,
GCNT1,,
MOV10,,
C12orf43,,
FOXN3,,
REX1BD,,
REXO4,,
CYRIB,,
GNS,,
TCEAL8,,
CBX3P2,,
WDR70,,
CDCP1,,
CSK,,
AP3B2,,
ENPP2,,
DDX59,,
HEIH,,
FRAT1,,
PLEKHO1,,
RNF166,,
LASP1,,
RPL19,,
THEMIS2,,
IGSF6,,
HPCAL1,,
HMOX1,,
SZRD1,,
TMED1,,
METTL18,,
WDR82,,
ABHD17B,,
KBTBD7,,
NAAA,,
MPND,,
PSKH1,,
CCDC71,,
EEF1D,,
C5orf63,,
CCDC174,,
EIF4EBP2,,
RNASEH2B,,
PSPC1,,
TMEM175,,
FEM1B,,
TSPAN4,,
WDR18,,
SPCS1,,
RBM39,,
ILVBL,,
GMFB,,
BIN2,,
CSNK1G3,,
ARHGAP27,,
KLKP1,,
MLANA,,
C16orf54,,
PREX1,,
KIAA1143,,
LRRTM4,,
IFI44L,,
SIGLEC17P,,
GGA3,,
C4orf33,,
SRXN1,,
LOC730183,,
TRIR,,
ZBTB6,,
SEMA4A,,
MGAT4A,,
WHRN,,
NIPA1,,
CRBN,,
SRFBP1,,
NOTUM,,
RHOH,,
ACP7,,
PAXX,,
TOMM40L,,
NAPRT,,
TMEM163,,
CEPT1,,
CNTLN,,
RTRAF,,
STAT5A,,
ACTN1,,
RPL23P8,,
NUBP1,,
PIEZO2,,
IFIT5,,
POLR2K,,
ANO1,,
TMEM229B,,
IL27,,
DYNLT1,,
ATP8B4,,
DOP1A,,
C11orf58,,
MNX1,,
ABL1,,
UBAC2,,
VCPIP1,,
