EEF1A1P11,SGSM2,PHTF1,HINFP,TREM1,PLEKHH3,TFE3,,FCGR3B,,,,,RANBP3,,,,,,ADAMDEC1,,,,,,,,,
RPL38,ITM2A,RNF4,NAV1,POR,UBE3A,CCDC47,,FTH1,,,,,SLC43A2,,,,,,GNAI2,,,,,,,,,
TLX1NB,ARMH4,GTF2B,FBL,RIN3,SPOCK1,MAN2B2,,MPP1,,,,,SH3BGRL3,,,,,,PIK3AP1,,,,,,,,,
VWA8-AS1,SH2D3C,DBNL,CLSTN1,BATF,ZNF219,SLC10A7,,ADM,,,,,SH3GL1,,,,,,USB1,,,,,,,,,
GPM6A-DT,TSPAN11,HNRNPL,MAML1,ADPGK,SUB1,PIAS1,,RPL23AP32,,,,,CSTB,,,,,,ITGAM,,,,,,,,,
RPL24P2,VWF,TACC3,RAVER2,MAP3K8,SMARCA5,YIPF1,,PTPN2,,,,,ADGRE1,,,,,,NAB1,,,,,,,,,
RPL24P8,LY6H,P4HB,BRD8,C9orf72,RAD21-AS1,EMC7,,WDR55,,,,,ATG7,,,,,,DSE,,,,,,,,,
EPHA6,NRIP1,RSPO4,CEL,DOK2,ABCA2,ATP6AP2,,IL10RA,,,,,HCLS1,,,,,,ITGB2,,,,,,,,,
TSGA10IP,DLL4,MED18,MX1,ELF4,ERI2,TMEM62,,LILRB3,,,,,UBXN6,,,,,,,,,,,,,,,
LINC02109,MAN1A2,PLK1,OSR1,LIFR,DENND2B,VPS4A,,ARHGAP30,,,,,NFAM1,,,,,,,,,,,,,,,
LINC01750,AGO3,RAD23A,PYM1,RPPH1,COPS3,ABRACL,,GNA12,,,,,MTMR14,,,,,,,,,,,,,,,
PFKP-DT,RAPGEFL1,EGR2,PTPRF,XPO6,RTRAF,SNX11,,SAP30L,,,,,BCKDK,,,,,,,,,,,,,,,
CNIH2,ZNF765,WBP2,PDK3,CRYBB1,CTDSPL2,HNRNPA2B1,,MB21D2,,,,,BCAT1,,,,,,,,,,,,,,,
LINC02059,TNFRSF4,TPSD1,KAT2B,WNT5A,MAFB,TERF2IP,,RIPPLY3,,,,,THBD,,,,,,,,,,,,,,,
VAC14-AS1,TRMT10C,CIR1,FRRS1L,ASGR2,GPR107,KLHL2,,GLUL,,,,,GTF2F1,,,,,,,,,,,,,,,
EPIST,FAM20A,TMEM161B,ROCK1,POLD4,BCOR,LAMP1,,CSK,,,,,GABPB1,,,,,,,,,,,,,,,
PRDM9,SLC40A1,NRP2,ENTR1,ANKRD18DP,ECHDC1,NPC2,,ISY1,,,,,S100A11,,,,,,,,,,,,,,,
NKX1-2,PGBD2,TEDC1,TP53,RAPGEF1,PHIP,CD38,,IRAK2,,,,,CDC42SE2,,,,,,,,,,,,,,,
PXDNL,LCAT,FHOD1,KIF2C,RETN,EXOC2,TPM3,,GADD45B,,,,,CCDC25,,,,,,,,,,,,,,,
HMGB3P19,GPR162,ERICH1,LINC00851,QRSL1,TXNL1,SLC16A3,,FUCA1,,,,,RNPS1,,,,,,,,,,,,,,,
NRL,PGF,MLX,CENPJ,ELL2,ETS1,BCL10,,CD53,,,,,MTUS1,,,,,,,,,,,,,,,
LINC00567,MBTPS2,ERAL1,NFKBIZ,CD68,ZNF346,NFE2L3,,ALOX5AP,,,,,C19orf38,,,,,,,,,,,,,,,
HRH3,CFAP97,SLC66A1,GPR20,GLIPR1,IFI30,USP4,,GLRX,,,,,C15orf48,,,,,,,,,,,,,,,
BOD1L2,FGFR1,EIF2B2,SELENOT,UBXN7,FAM117B,PSMD7,,KCNE3,,,,,SMCO4,,,,,,,,,,,,,,,
GALP,BCL11A,MFSD13A,NAPSA,MAN2B1,MEF2D,ARPC3,,PALS1,,,,,,,,,,,,,,,,,,,,
OR7A10,TLNRD1,PLEKHO2,H2AC6,CXCL5,USP47,SERPINB1,,PLOD2,,,,,,,,,,,,,,,,,,,,
GPC1-AS1,NEIL1,ARHGDIA,NCR3,ANPEP,RNASET2,PELO,,MGAT4A,,,,,,,,,,,,,,,,,,,,
PTPRT-AS1,CELSR2,MVP,MED22,CYRIA,SYDE2,SHISA5,,TMEM127,,,,,,,,,,,,,,,,,,,,
SYT3,DRC3,SRP54,GPX6,AFP,FCGR1CP,ADPRS,,NUMB,,,,,,,,,,,,,,,,,,,,
PCAT4,IRX6,PSMD3,FBLN2,CXCL8,SUMO1P3,CAPZB,,MS4A6A,,,,,,,,,,,,,,,,,,,,
EEF1A1P19,UBE2G1,PSMD8,ZNF76,TLR4,HDAC7,ARF6,,SLC12A6,,,,,,,,,,,,,,,,,,,,
INHBA-AS1,PUS3,SRP68,DPH2,VNN2,PRRT1,TMED9,,SASH3,,,,,,,,,,,,,,,,,,,,
KNCN,STK36,CD9,PTPN14,SLX4,ZNF480,CDC42,,C5AR1,,,,,,,,,,,,,,,,,,,,
DHFRP3,BLMH,RAVER1,E2F3,ZNF592,PPP4R2,MED8,,P2RY13,,,,,,,,,,,,,,,,,,,,
WDR86-AS1,FADS1,GNAI3,ZBTB9,APLN,SAMHD1,CREG1,,LINC00857,,,,,,,,,,,,,,,,,,,,
SYNPR-AS1,GSTO2,SAMD9,ENHO,AKAP1,STAB1,HLA-B,,,,,,,,,,,,,,,,,,,,,,
LINC02052,HSPA12A,GPR141,DOK4,ZNF385C,FPR1,NFE2L1,,,,,,,,,,,,,,,,,,,,,,
MGAT4EP,CLCN4,HSPA6,DECR2,CDO1,PLXND1,HLA-C,,,,,,,,,,,,,,,,,,,,,,
KRT20,F2RL3,ZNF598,SLC25A51P1,ZDHHC19,TBC1D2B,CLIC1,,,,,,,,,,,,,,,,,,,,,,
DMBT1,POLM,SEC61A1,WWTR1,PLEKHJ1,CEP128,TBCA,,,,,,,,,,,,,,,,,,,,,,
PDZD9,SCAMP5,TBC1D9,MSRB1,ADAMTS2,JADE2,PDIA3,,,,,,,,,,,,,,,,,,,,,,
GREP1,TIMM9,RAP1GDS1,PCDHGB3,MAP3K14,HNMT,CAPZA2,,,,,,,,,,,,,,,,,,,,,,
IL2,RABL2B,HK1,SSRP1,PLA2G7,LIMK1,PGK1,,,,,,,,,,,,,,,,,,,,,,
ADARB2-AS1,RAB9A,MED25,TGIF2,ALDH1A2,RIN2,MTREX,,,,,,,,,,,,,,,,,,,,,,
MTND2P39,LRIG3,RNF19B,CZIB,ADGRG3,FGF1,PTBP1,,,,,,,,,,,,,,,,,,,,,,
BPESC1,MIR374B,TOM1L1,ZNF605,AFMID,TIMP1,MARCHF1,,,,,,,,,,,,,,,,,,,,,,
RNU1-70P,CRACDL,MANBA,RING1,GGA3,PCSK4,GPR82,,,,,,,,,,,,,,,,,,,,,,
GH1,ATF1,PSMC4,GPSM1,GMFG,RCBTB2,TNIP1,,,,,,,,,,,,,,,,,,,,,,
CFAP210,TRIM2,PPP4R3C,DCTN2,AP2M1,GRIK2,U2AF2,,,,,,,,,,,,,,,,,,,,,,
LINC01664,WDR86,ANKFN1,NYX,ACADL,CRIPT,DTX3L,,,,,,,,,,,,,,,,,,,,,,
RAB9BP1,TMEM86B,VPS37A,RSAD1,CEMIP2,LGR6,DDOST,,,,,,,,,,,,,,,,,,,,,,
AKAIN1,MST1R,DDRGK1,MAN1B1,SUMO1P1,USP1,LILRB1,,,,,,,,,,,,,,,,,,,,,,
DYNLRB2-AS1,SOX4,ARF1,ELAVL1,LHX6,MR1,HIF1A,,,,,,,,,,,,,,,,,,,,,,
LINC01227,RASD2,LRIF1,TMEM154,MYO9B,ABCE1,STARD3,,,,,,,,,,,,,,,,,,,,,,
PGK2,VTN,JPT1,TMEM203,PCYOX1,CMTM3,DDX24,,,,,,,,,,,,,,,,,,,,,,
PRLHR,BAGE3,GET4,C16orf54,CAVIN2,MAN1C1,B2M,,,,,,,,,,,,,,,,,,,,,,
GPHB5,PHLDB1,CTBS,KDM1A,DAXX,PLTP,JUNB,,,,,,,,,,,,,,,,,,,,,,
RIPPLY1,RIOX2,PKMYT1,LTB,IL2RG,CBX7,C11orf21,,,,,,,,,,,,,,,,,,,,,,
ZIM3,ACVRL1,TRIM47,SLC16A9,SYBU,BMP1,GTF3C6,,,,,,,,,,,,,,,,,,,,,,
PLEKHG7,FBLIM1,KIF22,SHE,ATF5,RRP15,CORO1C,,,,,,,,,,,,,,,,,,,,,,
OR1E1,LINC01164,SKAP1,REXO4,KXD1,IER5L,TMEM184B,,,,,,,,,,,,,,,,,,,,,,
GABRR3,CHID1,STAT3,FYTTD1,GPAM,FCGR2B,PSMB8,,,,,,,,,,,,,,,,,,,,,,
SI,ARX,CD300E,VANGL2,FGD3,ADAMTSL3,TM2D1,,,,,,,,,,,,,,,,,,,,,,
TRPC5OS,PGGHG,DCK,PLAAT4,SLC35G3,PPFIA2,TAPBP,,,,,,,,,,,,,,,,,,,,,,
LINC01649,PAK1IP1,SIRT7,TARBP1,HINT3,C2,SEC22B,,,,,,,,,,,,,,,,,,,,,,
H2BC1,URI1,SIRT6,CDC20,CDV3,PLAU,PRDX1,,,,,,,,,,,,,,,,,,,,,,
VNN3P,H3C12,IKBKE,TIGIT,RGS19,ZDHHC1,PHAF1,,,,,,,,,,,,,,,,,,,,,,
ST8SIA3,TRMT1L,LRRC8B,MED12,CORO7,GALNT1,IST1,,,,,,,,,,,,,,,,,,,,,,
LINC01364,ZNF197,NACC1,EIF3IP1,SLC29A2,UFL1,EIF1,,,,,,,,,,,,,,,,,,,,,,
MYCBPAP,CLDN5,ZWINT,GINS4,VPS33B,COL4A2,ACTB,,,,,,,,,,,,,,,,,,,,,,
SERPINA10,LINC02203,IRF5,BTBD16,COL5A1,MIRLET7BHG,IFNAR2,,,,,,,,,,,,,,,,,,,,,,
LINC02555,KIAA0513,ADAM9,LIPG,AGO4,NOTCH4,TFEC,,,,,,,,,,,,,,,,,,,,,,
FYB2,TRAF3IP1,IL27RA,KIF20A,SMOX,ZNF45,AP2A1,,,,,,,,,,,,,,,,,,,,,,
SLC9C2,SLC25A13,SNX9,SKA3,AK8,,PGAM1,,,,,,,,,,,,,,,,,,,,,,
DRD1,KCTD12,NUP62,CPN1,ARAP1,,SELPLG,,,,,,,,,,,,,,,,,,,,,,
FGB,NREP,NOCT,KCNK1,ITGAL,,CGAS,,,,,,,,,,,,,,,,,,,,,,
LINC00941,IMP3,WDR62,SARM1,DCTN5,,STAT1,,,,,,,,,,,,,,,,,,,,,,
LINC00301,ZNF433,SNAP23,PPP1R26,ACRBP,,CD80,,,,,,,,,,,,,,,,,,,,,,
SPATA45,LGR4,PLEKHO1,IFI44L,DPEP2,,TMED5,,,,,,,,,,,,,,,,,,,,,,
UBE2U,SOX18,TM4SF19,PEAK3,CRYM,,SRP19,,,,,,,,,,,,,,,,,,,,,,
LINC00564,DMD,FBRS,SOX14,PGLYRP1,,MAP2K1,,,,,,,,,,,,,,,,,,,,,,
AKR1C4,RPL26,NINJ1,NSUN4,GRSF1,,CD164,,,,,,,,,,,,,,,,,,,,,,
FAM9A,ADCY4,XRCC4,BCL2L10,CCDC68,,CSF1,,,,,,,,,,,,,,,,,,,,,,
SFTA3,DLL1,BAALC-AS2,NME9,RNF40,,DNAJC8,,,,,,,,,,,,,,,,,,,,,,
HOXD12,EIF2S3,UBE2S,RARRES2,ZC3H12A,,TIFA,,,,,,,,,,,,,,,,,,,,,,
CEP72-DT,RBMX,UBE2Z,,ADGB,,SLC38A9,,,,,,,,,,,,,,,,,,,,,,
LINC02387,GCHFR,TELO2,,ARHGAP29,,ZC3H4,,,,,,,,,,,,,,,,,,,,,,
CABCOCO1,CES1,NRXN3,,SIRPD,,SELENOF,,,,,,,,,,,,,,,,,,,,,,
TTC34,PPP2R5A,HBEGF,,ARHGAP9,,PSAP,,,,,,,,,,,,,,,,,,,,,,
LINC02551,TNFSF8,FYB1,,S1PR3,,TAGLN2,,,,,,,,,,,,,,,,,,,,,,
EEF1A1P6,S100A9,ARL8A,,UGT3A1,,POLR2C,,,,,,,,,,,,,,,,,,,,,,
SNORA31,RPAP2,ATP13A2,,HCST,,BNIP2,,,,,,,,,,,,,,,,,,,,,,
POT1-AS1,ST6GALNAC6,MYPOP,,ZNF253,,LAT2,,,,,,,,,,,,,,,,,,,,,,
BRDT,MED20,ARID3A,,ASGR1,,TRIM8,,,,,,,,,,,,,,,,,,,,,,
RXFP2,PLVAP,REEP4,,IQSEC1,,ABHD16A,,,,,,,,,,,,,,,,,,,,,,
RPL24P4,SEMA3F,CSNK1G2,,NOP10,,NMI,,,,,,,,,,,,,,,,,,,,,,
RACGAP1P1,GGT5,STRN4,,SORBS1,,VEZF1,,,,,,,,,,,,,,,,,,,,,,
DYDC1,FLNB,ZMIZ2,,TMEM138,,NELFA,,,,,,,,,,,,,,,,,,,,,,
LINC02619,ACVR1B,SSX2IP,,OGFRL1,,DBI,,,,,,,,,,,,,,,,,,,,,,
TEDC2-AS1,DEF6,GSK3A,,RBPMS2,,SPPL2A,,,,,,,,,,,,,,,,,,,,,,
ALB,ZFP69B,HLA-H,,SLC49A4,,RPN2,,,,,,,,,,,,,,,,,,,,,,
GP2,PKD1,EIF4G1,,SPAG8,,TPI1,,,,,,,,,,,,,,,,,,,,,,
SMG7-AS1,TUBGCP6,PCCA,,GREM1,,SLC35B1,,,,,,,,,,,,,,,,,,,,,,
LINC01093,RBCK1,PMM2,,TDO2,,CHIC2,,,,,,,,,,,,,,,,,,,,,,
ZNF876P,NRROS,UBE2M,,ACSL1,,NOP14,,,,,,,,,,,,,,,,,,,,,,
LNCPRESS1,FGD5,AP1B1,,CHFR,,GDE1,,,,,,,,,,,,,,,,,,,,,,
FAM186A,COL14A1,TRAPPC11,,AASS,,UTP18,,,,,,,,,,,,,,,,,,,,,,
